FundCode,FundName,Category,GroupCategory,FundHouse,WMC,Subscribe,Price,PriceDate,Currency,Risk,RetYTD(%),Ret1W(%),Ret1M(%),Ret3M(%),Ret6M(%),Ret1Y(%),Ret2Y(%),Ret3Y(%),Ret5Y(%),Yield(%),YieldDate,MgmtFee(%),ISIN,StarRating,BalancedRisk,BalancedRegion,BondType,BondRegion,EquityStyle
U44532,"景順亞洲資產配置基金 A(每月派息 -1 股份)(美元) - 現金派息","亞洲股債混合","亞洲股債混合","景順投資管理有限公司",N,N,5.91,18-09-2026,美元,4,11.67,-0.34,0.11,-4.73,6.69,12.49,5.34,2.74,-8.29,7.41,31-08-2026,1.25,LU0955864656,2,"平衡型","亞洲","","",""
U44980,"首源亞洲鐵橋基金(美元 每月分派-現金派息)","亞洲股債混合","亞洲股債混合","首源投資(香港)有限公司",N,N,14.19,18-09-2026,美元,3,9.02,-0.14,0.12,-1.56,6.98,9.62,6.9,-1.83,-2.9,3.8,31-08-2026,1.25,HK0000012440,3,"平衡型","亞洲","","",""
U44376,"施羅德亞洲高息股債基金A類別 (美元 每月收息單位-現金派息)","亞洲股債混合","亞洲股債混合","施羅德投資管理(香港)有限公司",Y,Y,9.9729,18-09-2026,美元,3,18.1,-0.24,-0.16,-1.6,11.58,21.81,9.44,3.45,3.57,5.61,31-08-2026,1.25,HK0000081932,4,"平衡型","亞洲","","",""
U44923,"滙豐環球投資基金 - 全智選 - 亞洲焦點入息AM2類 (港元 每月分派-現金派息)(每月投資計劃)","亞洲股債混合","亞洲股債混合","滙豐環球投資管理 (香港) 有限公司",N,Y,9.839,18-09-2026,港元,3,12.13,-0.33,0.6,-2.01,6.77,13.91,4.93,4.69,-4.17,4.1,31-08-2026,1.25,LU0762542818,3,"平衡型","亞洲","","",""
U44377,"施羅德亞洲高息股債基金A類別 (港元 每月收息單位-現金派息)","亞洲股債混合","亞洲股債混合","施羅德投資管理(香港)有限公司",Y,Y,100.4894,18-09-2026,港元,3,19.06,-0.19,-0.13,-1.49,11.73,22.91,8.87,3.49,4.14,5.59,31-08-2026,1.25,HK0000081908,4,"平衡型","亞洲","","",""
U39236,"安聯亞太收益基金A類收息股份(美元)","亞洲股債混合","亞洲股債混合","安聯環球投資亞太有限公司",N,N,7.6893,18-09-2026,美元,3,24.07,-0.69,0.49,-4.83,12.79,30.61,9.87,3.61,-1.2,1.58,31-08-2026,1.5,LU0348744763,,"平衡型","亞洲","","",""
U44931,"施羅德亞洲高息股債基金A類別 (港元 每月收息單位 現金派息)(每月投資計劃)","亞洲股債混合","亞洲股債混合","施羅德投資管理(香港)有限公司",N,Y,100.4894,18-09-2026,港元,3,19.06,-0.19,-0.13,-1.49,11.73,22.91,8.87,3.49,4.14,5.59,31-08-2026,1.25,HK0000081908,4,"平衡型","亞洲","","",""
U44437,"JPM亞太入息(美元)A股(每月派息-現金派息)","亞洲股債混合","亞洲股債混合","摩根資產管理",N,Y,121.55,18-09-2026,美元,3,8.39,-0.6,-0.2,-1.14,4.45,11.69,6.92,6.38,4.28,4.01,31-08-2026,1.5,LU0784639295,3,"平衡型","亞洲","","",""
U44580,"滙豐環球投資基金 - 全智選 - 亞洲焦點入息AM2類 (美元 每月分派-現金派息)","亞洲股債混合","亞洲股債混合","滙豐環球投資管理 (香港) 有限公司",N,Y,9.736,18-09-2026,美元,3,11.23,-0.39,0.57,-2.12,6.64,12.89,5.47,4.65,-4.7,4.12,31-08-2026,1.25,LU0762541174,3,"平衡型","亞洲","","",""
U44438,"JPM亞太入息(港元)A股(每月派息-現金派息)","亞洲股債混合","亞洲股債混合","摩根資產管理",N,Y,13.64,18-09-2026,港元,3,9.18,-0.58,-0.25,-1.05,4.51,12.57,6.23,6.65,4.82,4,31-08-2026,1.5,LU0784638990,4,"平衡型","亞洲","","",""
U44581,"滙豐環球投資基金 - 全智選 - 亞洲焦點入息AM2類 (港元 每月分派-現金派息)","亞洲股債混合","亞洲股債混合","滙豐環球投資管理 (香港) 有限公司",N,Y,9.839,18-09-2026,港元,3,12.13,-0.33,0.6,-2.01,6.77,13.91,4.93,4.69,-4.17,4.1,31-08-2026,1.25,LU0762542818,3,"平衡型","亞洲","","",""
U85126,"JPM亞太入息(美元)A股(分派)","亞洲股債混合","亞洲股債混合","摩根資產管理",N,N,38.16,18-09-2026,美元,3,8.36,-0.59,-0.21,-1.14,4.44,11.68,6.89,6.36,4.3,2.06,31-08-2026,1.5,LU0117844026,3,"平衡型","亞洲","","",""
U45216,"恒生亞洲增長及收益基金A類單位 (港元 每月現金派息) (每月投資計劃)","亞洲股債混合","亞洲股債混合","恒生投資管理有限公司",N,N,8.8937,18-09-2026,港元,3,15.35,-0.24,-0.06,-2.06,8.02,19.44,4.77,6.33,0,6.32,31-08-2026,1.5,HK0000658499,3,"平衡型","亞洲","","",""
U45343,"滙豐集合投資信託 -滙豐亞洲多元資產高入息基金 AM2類 (港元 每月分派-現金派息)","亞洲股債混合","亞洲股債混合","滙豐環球投資管理 (香港) 有限公司",Y,Y,7.299,18-09-2026,港元,3,12.07,-0.52,0.6,0.5,7.71,15.44,9.71,-0.49,0,4.8,31-08-2026,1.25,HK0000469202,2,"平衡型","亞洲","","",""
U45089,"恒生亞洲增長及收益基金A類單位 (美元 每月分派-現金派息)","亞洲股債混合","亞洲股債混合","恒生投資管理有限公司",Y,Y,8.8158,18-09-2026,美元,3,14.42,-0.29,-0.09,-2.17,7.88,18.38,5.35,6.18,0,6.35,31-08-2026,1.5,HK0000658481,3,"平衡型","亞洲","","",""
U45091,"恒生亞洲增長及收益基金P類單位 (美元 每月現金派息)","亞洲股債混合","亞洲股債混合","恒生投資管理有限公司",N,N,9.1639,14-05-2026,美元,3,14.09,-0.4,5.99,6.61,16.13,32.68,5.79,6.77,0,5.37,30-04-2026,1,HK0000658507,,"平衡型","亞洲","","",""
U45342,"滙豐集合投資信託 - 滙豐亞洲多元資產高入息基金AM2類 (美元 每月分派-現金派息)","亞洲股債混合","亞洲股債混合","滙豐環球投資管理 (香港) 有限公司",Y,Y,7.211,18-09-2026,美元,3,11.19,-0.57,0.56,0.38,7.54,14.48,10.24,-0.54,0,4.81,31-08-2026,1.25,HK0000469194,2,"平衡型","亞洲","","",""
U44358,"景順亞洲資產配置基金 A類股份 (港元每季分派) - 現金派息","亞洲股債混合","亞洲股債混合","景順投資管理有限公司",N,N,112.3,18-09-2026,港元,4,12.4,-0.38,0.11,-4.74,6.64,13.35,4.62,3.07,-7.77,1.38,31-08-2026,1.25,LU0580551074,2,"平衡型","亞洲","","",""
U45090,"恒生亞洲增長及收益基金A類單位 (港元 每月分派-現金派息)","亞洲股債混合","亞洲股債混合","恒生投資管理有限公司",Y,Y,8.8937,18-09-2026,港元,3,15.35,-0.24,-0.06,-2.06,8.02,19.44,4.77,6.33,0,6.32,31-08-2026,1.5,HK0000658499,3,"平衡型","亞洲","","",""
U45219,"JPM亞太入息(港元)A股(每月派息-現金派息) (每月投資計劃)","亞洲股債混合","亞洲股債混合","摩根資產管理",N,Y,13.64,18-09-2026,港元,3,9.18,-0.58,-0.25,-1.05,4.51,12.57,6.23,6.65,4.82,4,31-08-2026,1.5,LU0784638990,4,"平衡型","亞洲","","",""
U45004,"惠理亞洲股債收益基金 A MDIS類別  (美元 每月分派-現金派息)","亞洲股債混合","亞洲股債混合","惠理基金管理公司",Y,Y,12.99,18-09-2026,美元,4,22.26,-0.46,-0.19,-5.9,12.48,29.89,10.94,7.62,3.28,4.07,31-08-2026,1.5,HK0000352382,4,"平衡型","亞洲","","",""
U43132,"景順亞洲資產配置基金 A類股份 累積 (美元)","亞洲股債混合","亞洲股債混合","景順投資管理有限公司",N,N,28.76,18-09-2026,美元,4,11.52,-0.42,0.1,-4.83,6.56,12.39,5.26,2.85,-8.31,0,31-08-2026,1.25,LU0367026217,2,"平衡型","亞洲","","",""
U45005,"惠理亞洲股債收益基金 A MDIS類別  (港元 每月分派-現金派息)","亞洲股債混合","亞洲股債混合","惠理基金管理公司",Y,Y,13.06,18-09-2026,港元,4,23.12,-0.46,-0.27,-5.87,12.5,30.96,10.35,7.72,3.84,4.05,31-08-2026,1.5,HK0000352291,4,"平衡型","亞洲","","",""
U45063,"首源亞洲鐵橋基金(人民幣 每月分派-現金派息)","亞洲股債混合","亞洲股債混合","首源投資(香港)有限公司",Y,N,89.62,18-09-2026,人民幣,3,4.96,-0.22,-0.54,-2.61,4.24,3.65,10.23,1.09,-5,3.91,31-08-2026,1.25,HK0000554573,2,"平衡型","亞洲","","",""
U43367,"景順亞洲資產配置基金 A類股份 (美元每季分派) - 股息再投資","亞洲股債混合","亞洲股債混合","景順投資管理有限公司",N,N,14.25,18-09-2026,美元,4,11.5,-0.42,0.09,-4.9,6.52,12.3,5.27,2.86,-8.34,1.39,31-08-2026,1.25,LU0367026134,2,"平衡型","亞洲","","",""
U44321,"景順亞洲資產配置基金 A類股份 (美元每季分派) - 現金派息","亞洲股債混合","亞洲股債混合","景順投資管理有限公司",N,N,14.25,18-09-2026,美元,4,11.5,-0.42,0.09,-4.9,6.52,12.3,5.27,2.86,-8.34,1.39,31-08-2026,1.25,LU0367026134,2,"平衡型","亞洲","","",""
U45062,"首源亞洲鐵橋基金(港元 每月分派-現金派息)","亞洲股債混合","亞洲股債混合","首源投資(香港)有限公司",N,N,93.44,18-09-2026,港元,3,9.77,-0.09,0.16,-1.51,6.95,10.66,6.29,-1.77,-2.45,3.79,31-08-2026,1.25,HK0000554565,2,"平衡型","亞洲","","",""
U44862,"摩根全方位均衡(歐元對沖)(每月派息-現金派息)","歐元保守型股債混合 - 環球","保守型股債混合 - 環球","摩根資產管理",Y,Y,9.19,18-09-2026,歐羅,3,0.34,-0.33,-1.47,-1.83,0.54,1.65,3.64,4.67,2.77,3.93,31-08-2026,1.25,HK0000312865,2,"保守型","環球","","",""
U45472,"滙豐環球投資基金 – 美國聚焦入息 AM3HEUR類（歐元對沖 每月分派-現金派息）","歐元保守型股債混合 - 環球","保守型股債混合 - 環球","滙豐環球投資管理 (香港) 有限公司",N,Y,10.827,18-09-2026,歐羅,3,4.39,-0.29,-1.34,0.29,5.82,6.22,10.64,10.73,15.6,2.67,31-08-2026,1.25,LU2083901129,4,"保守型","環球","","",""
U44475,"施羅德環球基金系列-環球股債收息A類股份 (歐元對沖 累積單位)","歐元保守型股債混合 - 環球","保守型股債混合 - 環球","施羅德投資管理(香港)有限公司",N,N,138.2848,18-09-2026,歐羅,3,4.01,-0.57,-1.22,0.83,4.32,6.28,3.63,9.04,3.52,0,31-08-2026,1.25,LU0757360457,4,"保守型","環球","","",""
U44565,"駿利亨德森平衡基金A5m類股份 (歐元對沖 每月入息-現金派息)","歐元平衡型股債混合 - 環球","平衡型股債混合 - 環球","駿利亨德森投資",N,N,11.55,18-09-2026,歐羅,3,1.41,-0.25,-1.94,-0.77,6.01,2.16,11.7,11.15,14.35,3.96,31-08-2026,1,IE00B83BYG91,4,"平衡型","環球","","",""
U45486,"富蘭克林入息基金 A類（歐元-對沖1 每月分派- 現金派息）","歐元平衡型股債混合 - 環球","平衡型股債混合 - 環球","富蘭克林鄧普頓投資",N,Y,6.27,18-09-2026,歐羅,3,4.73,-0.79,-1.52,0.6,2.97,7.1,4.31,4.58,13.12,8.1,31-08-2026,1.35,LU0976567460,3,"平衡型","環球","","",""
U45705,"駿利亨德森平衡基金A6M類股份 (歐元對冲 每月派息-現金派息)","歐元平衡型股債混合 - 環球","平衡型股債混合 - 環球","駿利亨德森投資",N,Y,9.76,18-09-2026,歐羅,3,1.38,-0.32,-2.01,-0.77,5.97,2.13,0,0,0,7.02,31-08-2026,1,IE000IZFDI00,,"平衡型","環球","","",""
U42295,"貝萊德全球基金 - ESG多元資產基金A2類股份 (歐元)","歐元平衡型股債混合 - 環球","平衡型股債混合 - 環球","貝萊德資產管理北亞有限公司",N,N,23.04,18-09-2026,歐羅,3,7.01,-0.22,-1.45,-1.12,6.62,11.47,6.76,5.18,14.97,0,31-08-2026,1.5,LU0093503497,4,"平衡型","環球","","",""
U44549,"安聯收益及增長基金AM類收息股份 (H2 歐元對沖 每月派息-現金派息)","歐元平衡型股債混合 - 環球","平衡型股債混合 - 環球","安聯環球投資亞太有限公司",N,Y,7.9326,18-09-2026,歐羅,3,3.73,-0.69,-2.14,-3.57,4.51,5.09,8.26,14.8,10.63,5.83,31-08-2026,1.5,LU0913601281,3,"平衡型","環球","","",""
U43811,"滙豐均衡管理基金A類 (港元) (每月投資計劃)","美元進取型股債混合","進取型股債混合","滙豐環球投資管理 (香港) 有限公司",N,N,43.79,18-09-2026,港元,4,7.01,-0.36,-1.53,-1.13,4.66,9.12,6.99,4.69,1.91,0,31-08-2026,1.5,HK0000434248,2,"進取型","環球","","",""
U33705,"滙豐均衡管理基金A類 (港元)","美元進取型股債混合","進取型股債混合","滙豐環球投資管理 (香港) 有限公司",N,N,43.79,18-09-2026,港元,4,7.01,-0.36,-1.53,-1.13,4.66,9.12,6.99,4.69,1.91,0,31-08-2026,1.5,HK0000434248,2,"進取型","環球","","",""
U45808,"資本集團 - 資產收益創造者基金（盧森堡）BFYD2MH類 (人民幣對沖 每月分派-現金派息)","美元進取型股債混合","進取型股債混合","資本集團",N,Y,112.1717,18-09-2026,人民幣,4,0,-0.84,-2.46,0.35,0,0,0,0,0,0,,1.4,LU3352053089,,"進取型","環球","","",""
U45787,"資本集團 - 資產收益創造者基金（盧森堡）BFYD2M類 (美元 每月分派-現金派息)","美元進取型股債混合","進取型股債混合","資本集團",N,Y,16.6324,18-09-2026,美元,4,0,-0.79,-2.24,0.96,0,0,0,0,0,0,,1.4,LU3352052867,,"進取型","環球","","",""
U45807,"資本集團 - 資產收益創造者基金（盧森堡）BFYD2MH類 (澳元對沖 每月分派-現金派息)","美元進取型股債混合","進取型股債混合","資本集團",N,Y,23.2703,18-09-2026,澳元,4,0,-0.79,-2.21,1.05,0,0,0,0,0,0,,1.4,LU3352052941,,"進取型","環球","","",""
U45788,"資本集團 - 資產收益創造者基金（盧森堡）BFYD2M類 (港元 每月分派-現金派息)","美元進取型股債混合","進取型股債混合","資本集團",N,Y,130.4859,18-09-2026,港元,4,0,-0.75,-2.79,-0.7,0,0,0,0,0,0,,1.4,LU3352052784,,"進取型","環球","","",""
U42411,"富達基金 – 環球多元動力基金A類別股份 (美元 派息股份)","美元進取型股債混合","進取型股債混合","富達基金(香港)有限公司",N,N,36.9,18-09-2026,美元,4,12.74,-0.59,-0.75,-1.65,10.65,19.59,12.42,10.56,7.9,0.27,31-08-2026,2,LU0080751232,2,"進取型","環球","","",""
U44498,"富達基金 - 環球多元收益基金A類別股份 (美元 每月特色派息(G)-現金派息)","美元平衡型股債混合","平衡型股債混合","富達基金(香港)有限公司",N,N,8.059,18-09-2026,美元,2,5.17,-0.85,-1.59,-2.03,2.57,7.38,3.24,4.64,2,5.32,31-08-2026,1.25,LU0905234141,1,"平衡型","環球","","",""
U44665,"東方匯理香港組合 - 靈活配置均衡基金普通類別美元 - 分派 (現金派息)","美元平衡型股債混合","平衡型股債混合","東方匯理資產管理香港有限公司",Y,Y,10.22,18-09-2026,美元,2,6.38,-0.49,-1.65,-1.4,6.5,9.08,7.51,5.55,1.55,4.23,31-08-2026,1.2,HK0000200599,3,"平衡型","環球","","",""
U44497,"富達基金 - 環球多元收益基金A類別股份 (美元 累積)","美元平衡型股債混合","平衡型股債混合","富達基金(香港)有限公司",N,N,15.69,18-09-2026,美元,2,5.16,-0.82,-1.57,-2,2.62,7.39,3.24,4.6,2,0,31-08-2026,1.25,LU0905233846,1,"平衡型","環球","","",""
U44499,"富達基金 - 環球多元收益基金A類別股份 (港元 累積)","美元平衡型股債混合","平衡型股債混合","富達基金(香港)有限公司",N,N,15.84,18-09-2026,港元,2,6.02,-0.81,-1.55,-1.92,2.72,8.34,2.61,4.83,2.58,0,31-08-2026,1.25,LU0905234067,1,"平衡型","環球","","",""
U44500,"富達基金 - 環球多元收益基金A類別股份 (港元 每月特色派息(G)-現金派息)","美元平衡型股債混合","平衡型股債混合","富達基金(香港)有限公司",N,N,8.143,18-09-2026,港元,2,6.01,-0.8,-1.57,-1.92,2.68,8.32,2.65,4.77,2.57,5.27,31-08-2026,1.25,LU0905234497,1,"平衡型","環球","","",""
U44685,"東方匯理香港組合 - 靈活配置均衡基金普通類別港元 - 分派 (現金派息)","美元平衡型股債混合","平衡型股債混合","東方匯理資產管理香港有限公司",Y,Y,10.56,18-09-2026,港元,2,7.21,-0.47,-1.68,-1.32,6.67,10.12,6.96,5.52,2.16,4.21,31-08-2026,1.2,HK0000251790,3,"平衡型","環球","","",""
U44695,"富達基金 - 歐洲多元收益基金 A類別股份 - 累積 - 美元（對沖）","美元平衡型股債混合","平衡型股債混合","富達基金(香港)有限公司",N,N,17.81,18-09-2026,美元,2,2.59,-0.5,-1.33,0.96,2.59,5.14,7.97,9.82,8.64,0,31-08-2026,1,LU1046421449,3,"平衡型","環球","","",""
U44744,"東方匯理香港組合 - 靈活配置均衡基金普通類別港元 - 分派 (現金派息) (每月投資計劃)","美元平衡型股債混合","平衡型股債混合","東方匯理資產管理香港有限公司",N,Y,10.56,18-09-2026,港元,2,7.21,-0.47,-1.68,-1.32,6.67,10.12,6.96,5.52,2.16,4.21,31-08-2026,1.2,HK0000251790,3,"平衡型","環球","","",""
U44924,"富達基金 - 環球多元收益基金A類別股份 (港元 每月特色派息(G)-現金派息)(每月投資計劃)","美元平衡型股債混合","平衡型股債混合","富達基金(香港)有限公司",N,N,8.143,18-09-2026,港元,2,6.01,-0.8,-1.57,-1.92,2.68,8.32,2.65,4.77,2.57,5.27,31-08-2026,1.25,LU0905234497,1,"平衡型","環球","","",""
U44520,"貝萊德全球基金 - 環球多元資產入息基金A6類股份 (美元 每月派息股份-現金派息)","美元平衡型股債混合","平衡型股債混合","貝萊德資產管理北亞有限公司",N,Y,8.31,18-09-2026,美元,2,2.92,-0.84,-1.88,-0.52,2.95,4.85,6.23,9.88,5.77,6.53,31-08-2026,1.5,LU0784384876,2,"平衡型","環球","","",""
U44745,"駿利亨德森平衡基金A5m類股份 (港元 每月入息-現金派息) (每月投資計劃)","美元平衡型股債混合","平衡型股債混合","駿利亨德森投資",N,N,14.87,18-09-2026,港元,3,3.7,-0.18,-1.76,-0.24,7.1,5.17,13.04,13.67,16.09,3.91,31-08-2026,1,IE00B775H168,4,"平衡型","環球","","",""
U43907,"鄧普頓環球入息基金A類 (美元 累積)","美元平衡型股債混合","平衡型股債混合","富蘭克林鄧普頓投資",N,N,27.81,18-09-2026,美元,3,13.28,-1.52,-0.43,4.75,10.49,18.24,1.79,11.88,-1.65,0,31-08-2026,1.35,LU0211326755,3,"平衡型","環球","","",""
U44521,"貝萊德全球基金  - 環球多元資產入息基金A6類股份 (港元對沖 每月派息股份-現金派息)","美元平衡型股債混合","平衡型股債混合","貝萊德資產管理北亞有限公司",N,Y,75.1,18-09-2026,港元,2,1.78,-0.84,-1.96,-0.85,2.12,3.4,4.95,8.49,5.62,6.69,31-08-2026,1.5,LU0784385170,2,"平衡型","環球","","",""
U44746,"摩根全方位入息（港元）（每月派息-現金派息）(每月投資計劃)","美元平衡型股債混合","平衡型股債混合","摩根資產管理",N,N,10.69,18-09-2026,港元,2,6.82,-0.37,-1.22,-0.51,4.87,9.53,6.79,7.82,9.68,6.44,31-08-2026,1.25,HK0000084522,3,"平衡型","環球","","",""
U44772,"滙豐集合投資信託 - 滙豐歐洲多元資產入息基金AM3H類 (美元對沖 每月分派-現金派息)","美元平衡型股債混合","平衡型股債混合","滙豐環球投資管理 (香港) 有限公司",Y,Y,10.297,18-09-2026,美元,2,5.56,-0.16,-1.98,-0.54,4.1,10.8,6.07,13.75,7.25,5.44,31-08-2026,1.25,HK0000284890,3,"平衡型","環球","","",""
U44901,"瑞銀(盧森堡)歐洲增長及收益基金 (P 美元對沖 每月分派-現金派息)","美元平衡型股債混合","平衡型股債混合","瑞銀資產管理（香港）有限公司",N,N,114.29,18-09-2026,美元,4,7,-0.71,-2.19,-0.77,4.39,10.88,8.54,11.82,9.61,5.33,31-08-2026,1.4,LU1046463011,4,"平衡型","環球","","",""
U42278,"恒生環球平穩增長基金A類單位 (美元 累積收益單位) (每月投資計劃)","美元平衡型股債混合","平衡型股債混合","恒生投資管理有限公司",N,Y,31.4075,18-09-2026,美元,2,4.05,-1.06,-1.45,-0.54,2.97,6,0.3,8.81,2.04,0,31-08-2026,1,HK0000284619,1,"平衡型","環球","","",""
U44564,"駿利亨德森平衡基金A5m類股份 (港元 每月入息-現金派息)","美元平衡型股債混合","平衡型股債混合","駿利亨德森投資",N,N,14.87,18-09-2026,港元,3,3.7,-0.18,-1.76,-0.24,7.1,5.17,13.04,13.67,16.09,3.91,31-08-2026,1,IE00B775H168,4,"平衡型","環球","","",""
U42279,"恒生環球均衡增長基金A類單位 (美元 累積收益單位) (每月投資計劃)","美元平衡型股債混合","平衡型股債混合","恒生投資管理有限公司",N,Y,44.0823,18-09-2026,美元,2,11.46,-0.84,-1.03,-1.78,11.83,15.31,8.65,14.82,7.53,0,31-08-2026,1,HK0000284585,4,"平衡型","環球","","",""
U43892,"鄧普頓環球價值及入息基金A類 (美元 累積)","美元平衡型股債混合","平衡型股債混合","富蘭克林鄧普頓投資",N,N,52.47,18-09-2026,美元,3,15.17,-1.39,-0.61,5.11,12.48,21.12,2.57,14.92,5.74,0,31-08-2026,1.3,LU0128525689,5,"平衡型","環球","","",""
U43908,"鄧普頓環球入息基金A類 (歐元 累積)","美元平衡型股債混合","平衡型股債混合","富蘭克林鄧普頓投資",N,N,30.46,18-09-2026,歐羅,3,15.91,-0.56,0.36,4.53,10.32,21.35,8.44,8.56,5.62,0,31-08-2026,1.35,LU0211332563,3,"平衡型","環球","","",""
U44387,"摩根全方位入息(港元)(每月派息-現金派息)","美元平衡型股債混合","平衡型股債混合","摩根資產管理",N,N,10.69,18-09-2026,港元,2,6.82,-0.37,-1.22,-0.51,4.87,9.53,6.79,7.82,9.68,6.44,31-08-2026,1.25,HK0000084522,3,"平衡型","環球","","",""
U44388,"摩根全方位入息(美元)(每月派息-現金派息)","美元平衡型股債混合","平衡型股債混合","摩根資產管理",Y,N,10.62,18-09-2026,美元,2,5.93,-0.47,-1.32,-0.71,4.69,8.5,7.43,7.72,9.1,6.47,31-08-2026,1.25,HK0000084514,3,"平衡型","環球","","",""
U42924,"貝萊德全球基金  - 環球資產配置基金A2類股份 (歐元 累積)","美元平衡型股債混合","平衡型股債混合","貝萊德資產管理北亞有限公司",N,Y,85.79,18-09-2026,歐羅,3,8.08,0.06,-0.89,-1.13,7.4,12.01,16.1,8.65,14.94,0,31-08-2026,1.5,LU0171283459,4,"平衡型","環球","","",""
U44562,"駿利亨德森平衡基金A2類股份 (美元 累積)","美元平衡型股債混合","平衡型股債混合","駿利亨德森投資",N,Y,52.8,18-09-2026,美元,3,2.86,-0.23,-1.82,-0.36,7.03,4.29,13.66,13.61,15.45,0,31-08-2026,1,IE0004445015,4,"平衡型","環球","","",""
U42925,"貝萊德全球基金  - 環球資產配置基金A2類股份 (美元 累積)","美元平衡型股債混合","平衡型股債混合","貝萊德資產管理北亞有限公司",N,Y,98.31,18-09-2026,美元,3,5.58,-1.24,-1.93,-1.24,6.84,9.1,8.82,12.52,6.27,0,31-08-2026,1.5,LU0072462426,4,"平衡型","環球","","",""
U44563,"駿利亨德森平衡基金A5m類股份 (美元 每月入息-現金派息)","美元平衡型股債混合","平衡型股債混合","駿利亨德森投資",N,N,14.72,18-09-2026,美元,3,2.8,-0.26,-1.85,-0.38,7.01,4.26,13.65,13.62,15.49,3.92,31-08-2026,1,IE00B7KXQ091,4,"平衡型","環球","","",""
U43918,"富蘭克林入息基金A類 (美元 每月分派-現金派息)","美元平衡型股債混合","平衡型股債混合","富蘭克林鄧普頓投資",N,Y,9.8,18-09-2026,美元,2,6.26,-0.71,-1.34,1.02,3.92,9.14,6.01,7.01,13.88,8.02,31-08-2026,1.35,LU0098860793,3,"平衡型","環球","","",""
U42270,"恒生環球平穩增長基金A類單位 (美元 累積收益單位)","美元平衡型股債混合","平衡型股債混合","恒生投資管理有限公司",Y,Y,31.4075,18-09-2026,美元,2,4.05,-1.06,-1.45,-0.54,2.97,6,0.3,8.81,2.04,0,31-08-2026,1,HK0000284619,1,"平衡型","環球","","",""
U42269,"恒生環球均衡增長基金A類單位 (美元 累積收益單位)","美元平衡型股債混合","平衡型股債混合","恒生投資管理有限公司",Y,Y,44.0823,18-09-2026,美元,2,11.46,-0.84,-1.03,-1.78,11.83,15.31,8.65,14.82,7.53,0,31-08-2026,1,HK0000284585,4,"平衡型","環球","","",""
U45882,"施羅德環球基金系列- 環球股債增長收息 A類股份 (美元 每月分派-現金派息 MF)","美元平衡型股債混合","平衡型股債混合","施羅德投資管理(香港)有限公司",N,Y,190.1869,18-09-2026,美元,3,12.56,-0.67,-1.8,-0.07,8.97,16.58,7.6,15.25,3.96,7.7,31-08-2026,1.25,LU1326303135,4,"平衡型","環球","","",""
U45766,"東方匯理系列基金 - 收益機遇基金(美元 累積股份)","美元平衡型股債混合","平衡型股債混合","東方匯理資產管理香港有限公司",N,Y,83.92,18-09-2026,美元,2,7.23,-1.43,-0.9,3.69,6.34,10.76,4.29,8.17,9.47,0,31-08-2026,1.5,LU1883839398,5,"平衡型","環球","","",""
U45769,"東方匯理系列基金 - 收益機遇基金 (港元 每月分派-現金派息)","美元平衡型股債混合","平衡型股債混合","東方匯理資產管理香港有限公司",N,Y,56.89,18-09-2026,港元,2,8.08,-1.39,-0.87,3.81,6.48,11.73,3.76,0,0,7.53,31-08-2026,1.5,LU2585853133,,"平衡型","環球","","",""
U45763,"PIMCO GIS 收益增長基金 M類零售 (美元 累積股份)","美元平衡型股債混合","平衡型股債混合","PIMCO Asia Limited",N,Y,15.76,18-09-2026,美元,3,11.85,-0.38,-0.82,1.22,10.06,17.26,12.01,0,0,0,31-08-2026,1.6,IE000ITXATA3,,"平衡型","環球","","",""
U45877,"高盛全球多元資產收益投資組合 其他貨幣類股份 (港元 優越收益 每月分派-現金派息)","美元平衡型股債混合","平衡型股債混合","高盛資產管理（香港）有限公司",N,Y,98.47,18-09-2026,港元,2,0,-0.58,-1.55,-0.58,0,0,0,0,0,0,,1.25,LU3304318812,,"平衡型","環球","","",""
U45876,"高盛全球多元資產收益投資組合 基準貨幣類股份 (美元 優越收益 每月分派-現金派息)","美元平衡型股債混合","平衡型股債混合","高盛資產管理（香港）有限公司",N,Y,98.27,18-09-2026,美元,2,0,-0.61,-1.52,-0.66,0,0,0,0,0,0,,1.25,LU3311323730,,"平衡型","環球","","",""
U45767,"東方匯理系列基金 - 收益機遇基金(港元 累積股份)","美元平衡型股債混合","平衡型股債混合","東方匯理資產管理香港有限公司",N,Y,54.21,18-09-2026,港元,2,8.1,-1.38,-0.88,3.81,6.46,0,0,0,0,0,,1.5,LU3238209020,,"平衡型","環球","","",""
U45768,"東方匯理系列基金 - 收益機遇基金(美元 每月分派-現金派息)","美元平衡型股債混合","平衡型股債混合","東方匯理資產管理香港有限公司",N,Y,56.61,18-09-2026,美元,2,7.25,-1.43,-0.89,3.71,6.35,10.76,4.31,0,0,7.55,31-08-2026,1.5,LU2585852911,,"平衡型","環球","","",""
U45883,"施羅德環球基金系列- 環球股債增長收息 A類股份 (港元 每月分派-現金派息 MF)","美元平衡型股債混合","平衡型股債混合","施羅德投資管理(香港)有限公司",N,Y,1179.8676,18-09-2026,港元,3,13.45,-0.64,-1.8,0.02,9.09,17.6,6.97,15.51,4.61,7.68,31-08-2026,1.25,LU1900986487,5,"平衡型","環球","","",""
